ats_id,native_index,source,permeability [m^2],porosity [-],van Genuchten alpha [Pa^-1],van Genuchten n [-],residual saturation [-],thickness [m]
100,"(932952, 936200)",GLHYMPS,7.413102413009162e-15,0.01,0.00037527711937031103,2.0,0.01,
1000,"(3001621,)",NRCS,3.939280364893759e-13,0.3537065541211519,0.00017995613224482864,1.4039632190736198,0.19235257789765364,1.52
1001,"(3001617,)",NRCS,2.6745780785450996e-13,0.37690812748262165,0.00011584829241029104,1.4083381475516774,0.1848835155599321,1.5454999999999999
1002,"(612753,)",NRCS,2.6745780785451e-13,0.37690812748262165,0.00011584829241029104,1.4083381475516774,0.18488351555993213,1.5454999999999999
1003,"(298255,)",NRCS,5.93541196783369e-13,0.3407571996027805,0.00017959095094380298,1.3773274873427779,0.1973662174734131,1.52
1004,"(319784,)",NRCS,6.732443789653598e-13,0.36589489104634537,0.0001625824180073223,1.39551117629017,0.19325758460529704,1.5965
1005,"(3001616,)",NRCS,3.869858120724321e-12,0.48663954231209566,0.00012821600672018965,1.5206539281746512,0.15346845435168474,1.525
1006,"(3001618,)",NRCS,1.7595005685938985e-13,0.3501608140287385,7.41975338859512e-05,1.3540796920940252,0.22878105075681726,1.669
1007,"(626816,)",NRCS,1.7595005685938985e-13,0.35016081402873855,7.419753388595105e-05,1.3540796920940252,0.22878105075681737,1.669
1008,"(801114,)",NRCS,2.0378475243236673e-13,0.3626858283226207,7.14576571406667e-05,1.367718355792894,0.2268312489450176,1.5454999999999999
1009,"(624841,)",NRCS,2.0378475243236673e-13,0.3626858283226207,7.145765714066663e-05,1.367718355792894,0.22683124894501758,1.5454999999999999
1010,"(635458,)",NRCS,2.0378475243236673e-13,0.3626858283226207,7.14576571406667e-05,1.3677183557928942,0.22683124894501758,1.5454999999999999
1011,"(635459,)",NRCS,1.7501446951877682e-13,0.35865690168818265,5.448118218578242e-05,1.3310737895655935,0.28105880391982035,1.52
1012,"(3045089,)",NRCS,2.707133134302496e-13,0.363922533209562,5.1787955480603746e-05,1.348493694461031,0.27250620739974923,1.5964999999999998
1013,"(3045087, 3045088)",NRCS,9.14119184189655e-13,0.6264985147410749,6.254535806046041e-05,1.4631583896915688,0.18813653768696612,1.9435
1014,"(624811,)",NRCS,4.221401457154102e-12,0.4504183217477657,0.0001683018202453776,1.5572531585026954,0.15379260992387012,1.52
1015,"(620180,)",NRCS,9.498173876631226e-13,0.4443316049945465,4.983240376372287e-05,1.4842326431559356,0.19410974568893655,1.768
1016,"(620181,)",NRCS,4.657775190075315e-13,0.4339128502761357,7.884708403675246e-05,1.4249408338505414,0.2007937832283702,1.8260000000000003
1017,"(620179,)",NRCS,2.038882414416703e-12,0.4678997020854022,0.00010941306302492422,1.4352589832742313,0.187459664772713,1.52
1018,"(3045090,)",NRCS,9.450473107903029e-13,0.49967279865119985,0.00012664873806581914,1.5214619335032329,0.15334952738996435,1.571
1019,"(3045086,)",NRCS,2.760247014476975e-13,0.366999131082423,0.00011832683911346521,1.3773186474837982,0.19568241847511905,1.52
1020,"(298188,)",NRCS,3.1204764243403135e-13,0.42530784508440905,5.4577279677894114e-05,1.4028890598719137,0.23695364384903767,1.52
1021,"(298189,)",NRCS,1.020715341342141e-12,0.5152643227537572,7.88706232909043e-05,1.460110908538059,0.18163778994622332,2.03
1022,"(624845,)",NRCS,1.0164092897043803e-12,0.5139937650558923,7.980981995334475e-05,1.4595679945266662,0.18163218137979223,2.03
1023,"(612738,)",NRCS,1.031833050594712e-12,0.5185201268545356,7.652413142742534e-05,1.4615466913225572,0.18163454966116901,2.03
1024,"(319783,)",NRCS,1.7416488567665677e-13,0.4128450844091361,7.126936563431423e-05,1.3944232817201936,0.22298025604555935,1.52
1025,"(298049,)",NRCS,1.1313403556371954e-12,0.5236852279942045,6.271816455881627e-05,1.4782046475916488,0.18012106315049758,2.0044999999999997
1026,"(298223,)",NRCS,4.657775190075317e-13,0.4339128502761357,7.884708403675241e-05,1.4249408338505414,0.2007937832283702,1.8259999999999998
1027,"(612280,)",NRCS,4.3449529807476174e-13,0.42675483828804284,7.934828500449591e-05,1.4210432809987548,0.20167040115654378,1.8780000000000001
1028,"(612768,)",NRCS,4.3449529807476174e-13,0.42675483828804284,7.934828500449591e-05,1.4210432809987548,0.20167040115654383,1.8780000000000001
1029,"(298221, 298222)",NRCS,9.201715214928683e-13,0.5040888297421923,6.0940821801474327e-05,1.4973245943193212,0.17542633309392874,2.0044999999999997
1030,"(624816,)",NRCS,1.105803085160335e-12,0.4789311629324978,4.8035042518056055e-05,1.5058015198751045,0.18521817680156738,2.03
1031,"(612724,)",NRCS,5.850687445273206e-12,0.4712760675273089,0.0001883728721799422,1.605638734169025,0.16111793427888846,1.52
1032,"(624822, 624823)",NRCS,5.850081423187164e-13,0.4564059396722939,7.576636077351182e-05,1.474268776046205,0.17787200527187846,1.8515000000000001
1033,"(624824,)",NRCS,5.411018665573548e-13,0.44854956278274305,7.907567263649737e-05,1.4690313479660304,0.17839785667835042,1.8259999999999998
1034,"(623089,)",NRCS,9.332376237360214e-13,0.5039227947968868,5.9660784425146144e-05,1.5001217206643191,0.17520297933122056,2.0044999999999997
1035,"(298260,)",NRCS,6.401797196672889e-12,0.42967796626957505,0.00021860633833211833,1.6968273965672338,0.15558122266228316,1.52
1036,"(298262,)",NRCS,7.047011557696949e-12,0.4332309749545971,0.00022665759202186142,1.7536316807747125,0.15326485380026555,1.52
1037,"(298259,)",NRCS,7.114656239102347e-12,0.421164674880172,0.00022897840262864187,1.7372879514077382,0.15690991376548477,1.5225
